,Academic Year,Classification of First Degree,Number,Percentage
95,2013/14,First,73810,20
96,2013/14,Lower second,85760,24
97,2013/14,Third/Pass,16670,5
99,2013/14,Upper second,186125,51
370,2014/15,First,76030,22
371,2014/15,Lower second,75350,22
372,2014/15,Third/Pass,15080,4
374,2014/15,Upper second,171705,51
645,2015/16,First,83720,24
646,2015/16,Lower second,73180,21
647,2015/16,Third/Pass,14335,4
649,2015/16,Upper second,176215,51
920,2016/17,First,95525,26
921,2016/17,Lower second,71290,20
922,2016/17,Third/Pass,14225,4
924,2016/17,Upper second,182305,50
1200,2017/18,First,105500,28
1201,2017/18,Lower second,69105,19
1202,2017/18,Third/Pass,13435,4
1204,2017/18,Upper second,184150,49
