Category,Message
ham,can dunno wat to get 4 her
ham,haha my friend tyler literally just asked if you could get him a dubsack
ham,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr8 weekend
ham,its good to hear from you
ham,the lay man just to let you know you are missed and thought off do have a great day and if you can send me bimbo and ugos numbers ill appreciate safe
ham,let there be snow let there be snow this kind of weather brings ppl together so friendships can grow
ham,say this slowly godi love you amp i need youclean my heart with your bloodsend this to ten special people amp u c miracle tomorrow do itplspls do it
ham,you could have seen mei didt recognise you face
ham,hey what are you doing y no reply pa
spam,filthy stories and girls waiting for your
ham,why you keeping me away like this
ham,k text me when youre on the way
ham,how many licks does it take to get to the center of a tootsie pop
ham,can you pls send me that company name in saibaba colany
ham,how dare you stupid i wont tell anything to you hear after i wont talk to you
ham,its posible dnt live in  ltgt century cm frwd n thnk different
ham,make that 3 4 fucks sake x
ham,i have a date on sunday with will
ham,yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down
ham,dnt worryuse ice pieces in a cloth packalso take 2 tablets
ham,dont fret ill buy the ovulation test strips and send them to you you wont get them til like march can you send me your postal addressull be alrightokay
ham,hope things went well at doctors  reminds me i still need 2godid u c d little thing i left in the lounge
ham,at home by the way
ham,tell my  bad character which u dnt lik in me ill try to change in  ltgt  i ll add tat 2 my new year resolution waiting for ur replybe frankgood morning
ham,dude just saw a parked car with its sunroof popped up sux
ham,and do you have any one that can teach me how to ship cars
spam,someone u know has asked our dating service 2 contact you cant guess who call 09058091854 now all will be revealed po box385 m6 6wu
spam,100 dating service call 09064012103 box334sk38ch
ham,i place all ur points on e cultures module already
ham,better made up for friday and stuffed myself like a pig yesterday now i feel bleh but at least its not writhing pain kind of bleh
ham,kind of took it to garage centre part of exhaust needs replacing part ordered n taking it to be fixed tomo morning
ham,say this slowly godi love you amp i need youclean my heart with your bloodsend this to ten special people amp u c miracle tomorrow do itplspls do it
ham,mathews or tait or edwards or anderson
ham,im doing da intro covers energy trends n pros n cons brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages
ham,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employers paperwork not cool at all please do not contact me again or i will report you to your supervisor
ham,true lov n care wil nevr go unrecognized though somone often makes mistakes when valuing it but they will definitly undrstnd once when they start missing it
ham,thats significant but dont worry
spam,hi there 2nights ur lucky night uve been invited 2 xchat the uks wildest chat txt chat to 86688 now 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18yrs
spam,free video camera phones with half price line rental for 12 mths and 500 cross ntwk mins 100 txts call mobileupd8 08001950382 or call2optout674
ham,text me when you get off dont call my phones having problems
ham,just gettin a bit arty with my collages at the mo well tryin 2 ne way got a roast in a min lovely i shall enjoy that
ham,no shit but i wasnt that surprised so i went and spent the evening with that french guy i met in town here and we fooled around a bit but i didnt let him fuck me
ham,u wake up already wat u doing u picking us up later rite im taking sq825 reaching ard 7 smth 8 like dat u can check e arrival time c ya soon
spam,ur ringtone service has changed 25 free credits go to club4mobilescom to choose content now stop txt club stop to 87070 150pwk club4 po box1146 mk45 2wt
ham,if you have belive me come to my home
ham,ha then we must walk to everywhere cannot take tram my cousin said can walk to vic market from our hotel 
ham,my darling sister how are you doing whens school resuming is there a minimum wait period before you reapply do take care
ham,hi this is yijue its regarding the 3230 textbook its intro to algorithms second edition im selling it for 50
ham,lmao take a pic and send it to me
ham,great how is the office today
ham,lol no i just need to cash in my nitros hurry come on before i crash out
ham,i went to ur hon lab but no one is there
ham,i love you you set my soul on fire it is not just a spark but it is a flame a big rawring flame xoxo
ham,where are you  what are you doing  are yuou working on getting the pc to your moms  did you find a spot that it would work  i need you
spam,do you want a new video handset 750 any time any network mins unlimited text camcorder reply or call now 08000930705 for del sat am
ham,abeg make profit but its a start are you using it to get sponsors for the next event
ham,tadaaaaa i am home babe are you still up 
